Sciezka,Gatunek
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Blank Space_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Blank Space_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Blank Space_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Blank Space_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Blank Space_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shake It Off_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shake It Off_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shake It Off_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shake It Off_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Shake It Off_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Run (Official Music Video)_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Run (Official Music Video)_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Run (Official Music Video)_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Run (Official Music Video)_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Run (Official Music Video)_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Counting Stars_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Counting Stars_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Counting Stars_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Counting Stars_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Counting Stars_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/As It Was_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/As It Was_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/As It Was_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/As It Was_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/As It Was_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Single Ladies (Put a Ring on It) (Video Version)_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Single Ladies (Put a Ring on It) (Video Version)_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Single Ladies (Put a Ring on It) (Video Version)_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Single Ladies (Put a Ring on It) (Video Version)_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Single Ladies (Put a Ring on It) (Video Version)_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Roar_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Roar_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Roar_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Roar_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Roar_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Last Friday Night (T.G.I.F.) (Official Music Video)_fragment_1.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Last Friday Night (T.G.I.F.) (Official Music Video)_fragment_2.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Last Friday Night (T.G.I.F.) (Official Music Video)_fragment_3.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Last Friday Night (T.G.I.F.) (Official Music Video)_fragment_4.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Last Friday Night (T.G.I.F.) (Official Music Video)_fragment_5.wav,pop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Real Slim Shady Edited_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Real Slim Shady Edited_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Real Slim Shady Edited_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Real Slim Shady Edited_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Real Slim Shady Edited_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Rap God_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Rap God_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Rap God_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Rap God_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Rap God_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/WHATS POPPIN (Remix)_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/WHATS POPPIN (Remix)_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/WHATS POPPIN (Remix)_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/WHATS POPPIN (Remix)_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/WHATS POPPIN (Remix)_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Still D.R.E._fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Still D.R.E._fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Still D.R.E._fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Still D.R.E._fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Still D.R.E._fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Next Episode_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Next Episode_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Next Episode_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Next Episode_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Next Episode_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Life Is Good (Official Music Video)_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Life Is Good (Official Music Video)_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Life Is Good (Official Music Video)_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Life Is Good (Official Music Video)_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Life Is Good (Official Music Video)_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Purple Lamborghini_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Purple Lamborghini_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Purple Lamborghini_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Purple Lamborghini_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Purple Lamborghini_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Patointeligencja_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Patointeligencja_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Patointeligencja_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Patointeligencja_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Patointeligencja_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Następna stacja_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Następna stacja_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Następna stacja_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Następna stacja_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Następna stacja_fragment_5.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Chodź_fragment_1.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Chodź_fragment_2.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Chodź_fragment_3.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Chodź_fragment_4.wav,hiphop
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Chodź_fragment_5.wav,hiphop
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Symphony No. 9 ""Choral"" (Finale)_fragment_1.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Symphony No. 9 ""Choral"" (Finale)_fragment_2.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Symphony No. 9 ""Choral"" (Finale)_fragment_3.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Symphony No. 9 ""Choral"" (Finale)_fragment_4.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Symphony No. 9 ""Choral"" (Finale)_fragment_5.wav",klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Mozart - Requiem_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Mozart - Requiem_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Mozart - Requiem_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Mozart - Requiem_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Mozart - Requiem_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/J.S. Bach - Toccata and Fugue in D minor BWV 565_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/J.S. Bach - Toccata and Fugue in D minor BWV 565_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/J.S. Bach - Toccata and Fugue in D minor BWV 565_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/J.S. Bach - Toccata and Fugue in D minor BWV 565_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/J.S. Bach - Toccata and Fugue in D minor BWV 565_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Tchaikovsky - Swan Lake (Swan Theme)_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Tchaikovsky - Swan Lake (Swan Theme)_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Tchaikovsky - Swan Lake (Swan Theme)_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Tchaikovsky - Swan Lake (Swan Theme)_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Tchaikovsky - Swan Lake (Swan Theme)_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Händel Messiah - Hallelujah Chorus_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Händel Messiah - Hallelujah Chorus_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Händel Messiah - Hallelujah Chorus_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Händel Messiah - Hallelujah Chorus_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Händel Messiah - Hallelujah Chorus_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig Van Beethoven's 5th Symphony in C Minor (Full)_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig Van Beethoven's 5th Symphony in C Minor (Full)_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig Van Beethoven's 5th Symphony in C Minor (Full)_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig Van Beethoven's 5th Symphony in C Minor (Full)_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig Van Beethoven's 5th Symphony in C Minor (Full)_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Richard Wagner - Ride of The Valkyries_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Richard Wagner - Ride of The Valkyries_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Richard Wagner - Ride of The Valkyries_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Richard Wagner - Ride of The Valkyries_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Richard Wagner - Ride of The Valkyries_fragment_5.wav,klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Nocturne in E-Flat Major, Op. 9, No. 2_fragment_1.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Nocturne in E-Flat Major, Op. 9, No. 2_fragment_2.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Nocturne in E-Flat Major, Op. 9, No. 2_fragment_3.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Nocturne in E-Flat Major, Op. 9, No. 2_fragment_4.wav",klasyczna
"/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Nocturne in E-Flat Major, Op. 9, No. 2_fragment_5.wav",klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Sonata Księżycowa_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Sonata Księżycowa_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Sonata Księżycowa_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Sonata Księżycowa_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Ludwig van Beethoven - Sonata Księżycowa_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I. Allegro_fragment_1.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I. Allegro_fragment_2.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I. Allegro_fragment_3.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I. Allegro_fragment_4.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/I. Allegro_fragment_5.wav,klasyczna
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Trooper_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Trooper_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Trooper_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Trooper_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/The Trooper_fragment_5.wav,metal
